Reaction Number, H_products (kJ/mol), H_reactants (kJ/mol), deltaH_reaction (kJ/mol), deltaH_reaction (kJ/g)
Reaction 1,-967.1830698722301,-967.1830698722301,0.0, 0.0
Reaction 2,-850.0951917807785,-967.1830698722301,117.08787809145167, 0.7221361536653387
Reaction 3,-840.6052362803154,-967.1830698722301,126.57783359191478, 0.7806651839566475
Reaction 4,-1166.1093132202595,-967.1830698722301,-198.9262433480294, -1.2268719407677848
Reaction 5,-788.720254008796,-791.7200906206563,2.999836611860246, 0.02271502159453179
Reaction 6,-822.2359022657262,-825.2357368406562,2.9998345749299915, 0.022715006170720194
Reaction 7,-844.2604711202802,-847.2603043566561,2.9998332363759346, 0.02271499603507341
Reaction 8,-651.0925810471203,-759.992555502856,108.89997445573567, 0.824250487857521
Reaction 9,-784.0031684875537,-759.992555502856,-24.010612984697673, -0.1817333710618958
Reaction 10,-831.1349700349409,-855.7515505226562,24.616580487715282, 0.18631986442412415
Reaction 11,-1518.45786807071,-1650.2776206191397,131.81975254842973, 0.30202231273282304
Reaction 12,-1759.5948860651451,-1887.1822305148794,127.58734444973425, 0.30206338384732034
Reaction 13,-745.9601466971794,-734.3643040405772,-11.595842656602258, -0.04489814015023912
Reaction 14,-603.9406391237372,-513.1247342447771,-90.81590487896017, -0.35163164470887126
Reaction 15,-1444.5795236631295,-1366.141754975945,-78.43776868718442, -0.20730057241107264
Reaction 16,-468.34633966929323,-681.0242309282661,212.67789125897286, 1.0214585815233315
Reaction 17,-827.6847473396434,-681.0242309282661,-146.66051641137733, -0.7043874761604981
Reaction 18,-603.8979131150758,-681.0242309282661,77.12631781319033, 0.3704256174688551
Reaction 19,-1534.658959111202,-1592.6036484589476,57.94468934774568, 0.064612722287852
Reaction 20,-1116.0695864141353,-1176.6296690234656,60.560082609330266, 0.19904710800108552
Reaction 21,-720.4444843405813,-711.2439315194786,-9.200552821102747, -0.04378296764586822
Reaction 22,-393.45313108920004,-311.05215050022025,-82.40098058897979, -1.8723240306516655
Reaction 23,-110.51685716220001,-64.79798663632208,-45.71887052587793, -1.6322338638299867
Reaction 24,-200.9876709584,-203.1799830006064,2.192312042206396, 0.06842422104264657
Reaction 25,-215.5761722435327,-189.00087910767186,-26.575293135860846, -0.8850760386285501
Reaction 26,-83.84640090111739,-77.04771503342658,-6.798685867690807, -0.226260844904513
Reaction 27,-74.59542417984001,-68.7336402977882,-5.86178388205181, -0.3654478729458735
Reaction 28,52.496779700119845,54.70747045376795,-2.2106907536481017, -0.07881250458638508
Reaction 29,-96.39352799649457,-108.49073623009568,12.097208233601108, 0.12862802221845346
Reaction 30,-136.7945511247727,-341.18559454407193,204.39104341929922, 6.806001912000907
Reaction 31,0.0,10.132076178076892,-10.132076178076892, -5.025831437538141
Reaction 32,-241.8195590268,-285.67614299397343,43.856583967173435, 2.436476887065191
